,logFC,AveExpr,t,P.Value,adj.P.Val,B,g
DPY30,-1.65644597510038,3.66672719997124,-1.40961629308659,0.170650678481957,0.297746068721699,-5.7200706905708,stable
GALNTL6,0.846608451631146,0.611930385173074,1.40960879052865,0.170652872014024,0.297746068721699,-5.72008072562225,stable
ACTL8,-0.911121870775531,0.823941467323687,-1.4095012884406,0.170684304988158,0.297777210477151,-5.72022451010333,stable
NR5A2,1.20480882389487,1.74585181421323,1.40918496798399,0.170776821860891,0.297914906255976,-5.72064753567881,stable
JMY,0.500266767042723,0.408078966951253,1.40898820648893,0.170834390397417,0.297991618676038,-5.72091063027739,stable
EXOC6B,0.644845100172506,0.548816759169834,1.40887982444597,0.170866107422453,0.298012327565217,-5.72105553714976,stable
MIR374A,-1.22120267464885,0.506829629807361,-1.40880827934282,0.170887047009478,0.298012327565217,-5.72115118778883,stable
SNORD4A,-1.22120267464885,0.506829629807361,-1.40880827934282,0.170887047009478,0.298012327565217,-5.72115118778883,stable
SNHG10,-0.972614614583246,0.733552332614982,-1.40852490887306,0.170970002950922,0.298133277757311,-5.72152999289131,stable
ANKRD29,1.08622265961021,1.51352846664359,1.40846934532171,0.170986272775939,0.298137932351364,-5.72160426172295,stable
MMP16,0.11135613343501,0.121762173042317,1.40827490919519,0.171043216201258,0.298213500544641,-5.72186413440543,stable
ABCA2,0.779424790122326,0.623192803632713,1.40807877368036,0.171100672554676,0.298289950936142,-5.7221262473438,stable
RPL13AP17,0.112195287542459,0.12232160911395,1.40794336347578,0.171140348838306,0.298335394583261,-5.72230718957121,stable
PYGO1,0.740424937493963,0.796134735162637,1.40786373853508,0.171163682995663,0.29835234533619,-5.7224135816575,stable
ITIH1,0.755354284377674,0.55109427367076,1.40772696701601,0.171203769896057,0.298398492477656,-5.72259631902191,stable
TICRR,0.121496591555415,0.128522478455921,1.40754679773272,0.171256587780501,0.298466819902716,-5.72283701601523,stable
MIR4260,-1.19068748862713,0.496657901133454,-1.40746308724282,0.171281132491771,0.298485865756587,-5.72294884001305,stable
RILPL1,0.845060640689474,0.61089851121196,1.40737307441253,0.171307528221505,0.298508134033673,-5.72306907660194,stable
OR6C74,0.112253145566938,0.122360181130269,1.40729181764816,0.17133135905683,0.298525929726156,-5.72317761144289,stable
LENG1,0.218025146435984,0.1928748483763,1.40722240660465,0.17135171788255,0.298537673478253,-5.72327031968736,stable
DNPEP,-1.35319739292889,2.22957263035894,-1.40712502562159,0.171380283753269,0.29856371295839,-5.72340037914699,stable
ZNF813,1.00789376819236,1.46457242984259,1.4070006205637,0.171416782396077,0.298603566982232,-5.72356652005561,stable
