"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MF","GO:0048018","receptor ligand activity","47/570","489/18410",5.80655447885508e-12,3.07806525968481e-09,2.75128694734862e-09,"55801/7471/3605/7066/4880/3458/2256/199699/885/2249/2253/1325/55908/29949/56729/2797/4283/5197/6370/3627/11172/246778/4049/284467/8200/3593/3596/6373/3626/356/3060/10563/6846/9573/284415/59067/27177/6367/112744/255324/50616/3641/89780/4282/10435/257313/2520",47
"MF","GO:0030546","signaling receptor activator activity","47/570","496/18410",9.57407545780656e-12,3.07806525968481e-09,2.75128694734862e-09,"55801/7471/3605/7066/4880/3458/2256/199699/885/2249/2253/1325/55908/29949/56729/2797/4283/5197/6370/3627/11172/246778/4049/284467/8200/3593/3596/6373/3626/356/3060/10563/6846/9573/284415/59067/27177/6367/112744/255324/50616/3641/89780/4282/10435/257313/2520",47
"MF","GO:0140375","immune receptor activity","23/570","148/18410",1.77862997413468e-10,3.80496233647368e-08,3.40101405535668e-08,"22914/1235/64109/133396/23547/400935/3805/116379/10663/3811/3593/1237/1234/3594/3560/51554/3821/972/643/3824/3122/3119/5284",23
"MF","GO:0005125","cytokine activity","29/570","235/18410",2.36700611911271e-10,3.80496233647368e-08,3.40101405535668e-08,"55801/7471/3605/7066/3458/29949/4283/5197/6370/3627/246778/4049/8200/3593/3596/6373/3626/356/10563/6846/9573/284415/59067/27177/6367/112744/50616/89780/4282",29
"MF","GO:0003823","antigen binding","24/570","174/18410",8.8558406621714e-10,1.13886110915524e-07,1.01795557927275e-07,"28674/28653/3497/28682/910/28672/28673/28664/6504/28577/28639/909/3824/3122/3119/28896/28454/57289/28883/3502/3500/2813/102723168/3503",24
"MF","GO:0042287","MHC protein binding","11/570","42/18410",4.07669864961576e-08,4.36886205283822e-06,3.90504818015825e-06,"3812/22914/28653/28682/28664/51744/28577/343413/925/972/3824",11
"MF","GO:0019955","cytokine binding","19/570","141/18410",7.40588792082043e-08,6.80283704726791e-06,6.08062376656835e-06,"1235/64109/199713/133396/116379/10663/8200/3593/1237/3604/2633/1234/3594/3560/8792/51554/112744/972/643",19
"MF","GO:0042605","peptide antigen binding","9/570","37/18410",1.40709901376388e-06,0.000113095583231272,0.000101088955462511,"28674/28653/28682/28672/28673/28664/28577/3122/3119",9
"MF","GO:0004896","cytokine receptor activity","14/570","97/18410",1.67058215014968e-06,0.000119353813616249,0.000106682789939383,"1235/64109/133396/400935/116379/10663/3593/1237/1234/3594/3560/51554/972/643",14
"MF","GO:0005216","ion channel activity","32/570","442/18410",8.33181644342197e-06,0.000533370483630538,0.000476745983567608,"57127/169522/80333/353174/3761/79400/1262/9635/10021/2890/3788/79054/26251/22953/56923/9629/57113/342125/119395/779/8542/3776/2903/441168/170572/126755/3742/2568/3736/3746/55503/2560",32
