model,gene,auc
240,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.66775729
241,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.692742211
242,NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.654482162
243,NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.683298018
244,NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.691844909
245,NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.683298018
246,SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.653718172
247,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.700760361
248,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.723646299
249,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.673084181
250,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.710325724
251,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.714515372
252,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.710325724
253,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.666775984
254,NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.683298018
255,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.710325724
