sample	segment_count	included
TCGA-A6-2684-01A-01D-1406-01	94	yes
TCGA-AA-A01F-01A-01D-A003-01	102	yes
TCGA-AA-3697-01A-01D-1717-01	338	yes
TCGA-AA-A010-01A-01D-A008-01	105	yes
TCGA-AA-3844-01A-01D-1018-01	391	yes
TCGA-AA-3841-01A-01D-0903-01	621	yes
TCGA-DM-A1DA-01A-11D-A151-01	1007	yes
TCGA-DM-A285-01A-11D-A16U-01	239	yes
TCGA-AA-3852-01A-01D-0903-01	122	yes
TCGA-G4-6294-01A-11D-1770-01	273	yes
TCGA-AA-3814-01A-01D-0903-01	118	yes
TCGA-AA-3955-01A-02D-1018-01	183	yes
TCGA-A6-2683-01A-01D-1549-01	226	yes
TCGA-AA-3521-01A-01D-0819-01	262	yes
TCGA-AY-A71X-01A-12D-A36W-01	143	yes
TCGA-AA-3986-01A-02D-1018-01	64	yes
TCGA-AZ-5403-01A-01D-1649-01	187	yes
TCGA-AA-A00D-01A-01D-A003-01	240	yes
TCGA-A6-5667-01A-21D-1717-01	303	yes
TCGA-CA-5254-01A-21D-1834-01	396	yes
TCGA-AA-3930-01A-01D-1018-01	250	yes
TCGA-A6-2677-01B-02D-A274-01	159	yes
TCGA-CM-6677-01A-11D-1834-01	184	yes
TCGA-AA-3680-01A-01D-0903-01	101	yes
TCGA-AA-3510-01A-01D-1406-01	106	yes
TCGA-AA-3819-01A-01D-0903-01	253	yes
TCGA-AA-3549-01A-02D-0819-01	215	yes
TCGA-AA-3524-01A-02D-1549-01	338	yes
TCGA-CK-5912-01A-11D-1649-01	251	yes
TCGA-F4-6460-01A-11D-1770-01	438	yes
TCGA-AA-3684-01A-02D-0903-01	84	yes
TCGA-AA-3984-01A-02D-1018-01	441	yes
TCGA-AA-A00L-01A-01D-A003-01	290	yes
TCGA-CM-4747-01A-01D-1406-01	100	yes
TCGA-QG-A5Z1-01A-11D-A28F-01	157	yes
TCGA-AA-3812-01A-01D-0903-01	180	yes
TCGA-AA-3867-01A-01D-1018-01	623	yes
TCGA-AA-3856-01A-01D-0903-01	243	yes
TCGA-G4-6311-01A-11D-1717-01	230	yes
TCGA-D5-5540-01A-01D-1649-01	262	yes
TCGA-AZ-4681-01A-01D-1406-01	317	yes
TCGA-AA-3956-01A-02D-1018-01	116	yes
TCGA-CA-6715-01A-21D-1834-01	491	yes
TCGA-CK-6751-01A-11D-1834-01	111	yes
TCGA-AA-3492-01A-01D-1406-01	160	yes
TCGA-AA-3514-01A-02D-1549-01	91	yes
TCGA-A6-2682-01A-01D-1549-01	58	yes
TCGA-AA-3548-01A-01D-0819-01	94	yes
TCGA-AA-3845-01A-01D-1018-01	77	yes
TCGA-AA-3666-01A-02D-0903-01	648	yes
TCGA-AA-A00J-01A-02D-A003-01	124	yes
TCGA-A6-6781-01A-22D-1923-01	64	yes
TCGA-A6-6653-01A-11D-1770-01	331	yes
TCGA-CM-6168-01A-11D-1649-01	87	yes
TCGA-A6-6649-01A-11D-1770-01	363	yes
TCGA-D5-6534-01A-21D-1923-01	180	yes
TCGA-DM-A1HA-01A-11D-A151-01	337	yes
TCGA-D5-6898-01A-11D-1923-01	195	yes
TCGA-AA-A01S-01A-21D-A080-01	388	yes
TCGA-AA-3858-01A-01D-0903-01	367	yes
TCGA-5M-AAT4-01A-11D-A40O-01	603	yes
TCGA-NH-A50U-01A-33D-A36W-01	172	yes
TCGA-G4-6626-01A-11D-1770-01	692	yes
TCGA-AA-3971-01A-01D-1018-01	88	yes
TCGA-AA-3854-01A-01D-0903-01	190	yes
TCGA-AA-3521-01A-01D-1549-01	258	yes
TCGA-AA-A01G-01A-01D-A003-01	195	yes
TCGA-AA-A00U-01A-01D-A003-01	387	yes
TCGA-A6-6137-01A-11D-1770-01	154	yes
TCGA-AA-3837-01A-01D-0903-01	145	yes
TCGA-AA-3939-01A-01D-1018-01	129	yes
TCGA-A6-6648-01A-11D-1770-01	399	yes
TCGA-G4-6307-01A-11D-1717-01	216	yes
TCGA-A6-2674-01A-02D-0819-01	155	yes
TCGA-A6-6138-01A-11D-1770-01	243	yes
TCGA-G4-6627-01A-11D-1770-01	54	yes
TCGA-AA-3534-01A-01D-1549-01	194	yes
TCGA-CA-6718-01A-11D-1834-01	242	yes
TCGA-A6-2676-01A-01D-1549-01	593	yes
TCGA-CA-5255-01A-11D-1834-01	45	yes
TCGA-CK-4952-01A-01D-1717-01	415	yes
TCGA-CM-5349-01A-21D-1717-01	147	yes
TCGA-DM-A28F-01A-11D-A16U-01	273	yes
TCGA-A6-5665-01B-03D-2297-01	573	yes
TCGA-AA-3489-01A-21D-1834-01	82	yes
TCGA-AA-3693-01A-01D-0903-01	304	yes
TCGA-G4-6317-01A-11D-1717-01	443	yes
TCGA-AA-3875-01A-01D-0903-01	285	yes
TCGA-NH-A50T-01A-11D-A28F-01	305	yes
TCGA-AA-3526-01A-02D-1549-01	69	yes
TCGA-A6-2670-01A-02D-0819-01	243	yes
TCGA-AD-A5EJ-01A-11D-A28F-01	56	yes
TCGA-AA-A01I-01A-02D-A008-01	50	yes
TCGA-AA-A00K-01A-02D-A003-01	116	yes
TCGA-CM-6167-01A-11D-1649-01	96	yes
TCGA-AZ-6599-01A-11D-1770-01	60	yes
TCGA-AA-3688-01A-01D-0903-01	267	yes
TCGA-G4-6321-01A-11D-1717-01	38	yes
TCGA-A6-2685-01A-01D-1406-01	132	yes
TCGA-A6-6780-01A-11D-A274-01	59	yes
TCGA-A6-6780-01B-04D-A274-01	91	yes
TCGA-CM-6680-01A-11D-1834-01	62	yes
