Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.A6.A56B.01A.31R.A28H.07	0.00196988425259082	0.0206615034564288	0	0.0268127238578766	0	0.144998728610535	0.0181626328712863	0.0178031731832766	0.0543317837679495	0	0.046336303271532	0.0139963239944679	0	0.399170090721494	0.0314248785601251	0.162061545764289	0.0303903223927606	0	0	0.00759119632575671	0.0242889089696303	0	0.033	0.182958184962761	1.03495023127817
TCGA.A6.A5ZU.01A.11R.A28H.07	0.0849717157342774	0	0.00475744469350289	0.0644128276086487	0	0.0323686469070869	0.0611747529712793	0.0238535214373114	0.0533955288823069	0	0.0549694355586645	0	0	0.354699344481228	0.114403526734164	0.124898111501388	0.0123074278177374	0	0.0137877156724039	0	0	0	0.09	0.093227680645391	1.06736151506568
TCGA.AA.3489.11A.01R.1839.07	0.0184341045391725	0	0.00249445369385203	0.110958628895447	0	0.00857254831217778	0.036281957428576	0.056126912439278	0.0218834162394131	0	0.0208650876968997	0	0.0384308211229333	0	0.281010474559862	0.140154670544331	0.0941488628089748	0	0.123711481142432	0	0.0469265805766496	0	0.227	0.0420422007610777	1.10596894386764
TCGA.AA.3489.01A.21R.1839.07	0.178668082022974	0	0.062673970856781	0.107070392139624	0	0.0656647204422215	0.0284576926071282	0.0502697286164582	0.0495003028268312	0	0.0468097326422709	0	0.0143640687481619	0.110760723294071	0.0843779523813201	0.113601421007726	0.0102670220055547	0	0.00937781091542816	0.0245243006749376	0.0133700468259953	0.0302420319925161	0.00600000000000001	0.302652036196653	0.959940349381622
TCGA.AA.3492.01A.01R.1410.07	0.0284766586584441	0	0.0091941247341745	0.15643583207032	0	0.11933694309058	0.0647420401736163	0.0268539051964488	0.0566548185451994	0	0.0831061318771874	0	0.00655050411270663	0.123043472372194	0.0787467347942035	0.136259923169695	0.0342786894413454	0	0	0.0673470555817098	0	0.00897316618217541	0.161	0.0616096803299598	1.06332567668331
TCGA.AA.3495.01A.01R.1410.07	0.0149516694064156	0	0.14931959845947	0.0710695392496667	0	0.238302356053603	0.0838004463894089	0.0458674681742042	0.0441918099587095	0	0	0.0139532130165433	0.024278971920072	0.0747247685454051	0.0845782617951258	0.0652865973880124	0.0358922573188486	0	0.0232712931071339	0.0305117492173808	0	0	0.013	0.235611391802418	0.991155213631091
TCGA.AA.3496.01A.21R.1839.07	0.0279969850994447	0	0.010080076350326	0.101866856539172	0	0.165084010337029	0.0834397974316706	0.0371299786302541	0.0323980842346838	0	0.023687389166486	0	0	0.196434820935007	0.0630874815348771	0.16696319549304	0.0219300038518273	0.00346730463242021	0.0270968742979782	0	0.0131028981488046	0.0262342433169804	0.167	0.0592903995486632	1.06059108204991
TCGA.AA.3496.11A.01R.1839.07	0.027218443175885	0	0.0120958998468115	0.0863668241214771	0	0.144322181463944	0.000909451786566472	0.0402618543305318	0.0232233858437191	0	0	0	0.0546827518026751	0	0.0416795757751042	0.268524808198832	0.106294018104109	0	0.177205511275228	0	0.0172152942751169	0	0.205	0.0495166312297246	1.05228385377627
TCGA.AA.3502.01A.01R.1410.07	0.010857386116882	0.0118292397325868	0	0.142366884007609	0	0.232080095999532	0	0.0448599853067052	0.113075879171757	0	0.0667841931398004	0	0.0368136860364019	0	0.0320614104513157	0.192783605996273	0.0156359446901819	0	0	0.095212224862336	0.00563946448861903	0	0.317	0.0271230369538948	1.09076449883385
TCGA.AA.3506.01A.01R.1410.07	0.0450497493511708	0	0.015724124334817	0.137718486474006	0	0.133715260480089	0.0115988166413551	0.0302499860795503	0.08160711058074	0	0.0592212975757217	0	0	0.212106520018136	0.0273270399059544	0.134545039609644	0.000653525033724652	0.00402737589889176	0	0.0944101693597347	0	0.0120454986564635	0.126	0.0746995800856372	1.06299949631639
