"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00510","N-Glycan biosynthesis","16/1355","50/8165",0.00535804764394048,0.0306702037549696,0.0226574428500568,"6185/1650/1798/23193/8813/2683/10195/8818/6184/3703/54344/7841/79053/1603/57171/199857",16
"hsa05110","Vibrio cholerae infection","16/1355","50/8165",0.00535804764394048,0.0306702037549696,0.0226574428500568,"60/71/3784/10945/10952/29927/9550/533/375/9601/528/6558/23480/109/9296/51382",16
"hsa05418","Fluid shear stress and atherosclerosis","35/1355","139/8165",0.00602062350337454,0.0338787627647517,0.0250277480158121,"6385/1535/6382/5603/60/8878/2353/3725/7850/6714/1728/71/805/2950/387/7412/4257/27035/5880/4688/3326/4318/7184/6613/7295/5155/7341/1499/808/445/5327/2944/2946/4790/6612",35
"hsa00030","Pentose phosphate pathway","11/1355","30/8165",0.00643015312005468,0.0355801805976359,0.0262846609995217,"51071/226/2203/7086/5226/5236/55276/5211/5634/230/2821",11
"hsa00270","Cysteine and methionine metabolism","16/1355","51/8165",0.00663182524762654,0.0360945242985576,0.0266646295547366,"191/2805/4191/2937/3939/4190/6611/7263/3945/1788/144811/259307/29968/58478/27430/4144",16
"hsa05131","Shigellosis","56/1355","247/8165",0.00740244531730449,0.0390707440477152,0.0288632953808422,"3611/10398/4615/5603/8915/80201/60/8878/960/10096/2017/3725/6714/10094/7416/54205/71/7314/387/3059/7334/8454/6500/81631/29108/7335/5217/7336/5216/7316/10109/643246/7321/375/103910/54874/10093/8976/598/81858/3710/3101/55054/998/81/10095/7414/834/10092/823/3688/92610/7322/4790/1437/8767",56
"hsa05146","Amoebiasis","27/1355","102/8165",0.00741402673194595,0.0390707440477152,0.0288632953808422,"2919/1282/1278/3914/836/7850/4583/2921/3689/5052/3909/5868/2920/7040/5269/1281/1277/7879/81/7414/4843/3569/3918/1284/3908/4790/1437",27
"hsa03320","PPAR signaling pathway","21/1355","75/8165",0.00881012272065402,0.0457025116133927,0.033762476873559,"4312/3611/3158/2168/51703/2171/6319/6342/5106/5105/10062/1622/2710/7316/5360/8310/364/8309/2170/51/1962",21
"hsa00230","Purine metabolism","32/1355","128/8165",0.00935475365129223,0.0477812032650618,0.0352980987975885,"353/9060/132/955/2984/471/5236/51292/29922/55276/374659/144811/5147/124583/204/7498/5142/5634/50808/318/3251/6241/9061/2618/109/30833/3615/22875/11164/4833/158/4830",32
"hsa05320","Autoimmune thyroid disease","16/1355","53/8165",0.00990663169638332,0.0492734179235582,0.036400464096985,"3122/3118/3108/3115/3135/3127/3119/3113/3109/3117/3105/3123/3002/942/1493/3107",16
"hsa04066","HIF-1 signaling pathway","28/1355","109/8165",0.00994373193035663,0.0492734179235582,0.036400464096985,"226/80201/3459/2597/3939/2023/3643/3945/6513/6194/2026/5230/5211/5160/2027/112399/3101/1978/1026/818/4843/3569/5163/230/1536/4790/7076/9470",28
