,P01_tissue_tumor_center,P01_tissue_tumor_deep,P01_tissue_tumor_superficial,P08_tissue_tumor,P10_tissue_tumor,P18_tissue_tumor,P19_tissue_tumor,P20_tissue_tumor,P21_tissue_tumor,P01_CTM1,P01_CTM3,P01_CTM4,P01_CTM8,P08_CTM7,P08_CTM10,P08_CTM11,P10_CTM10,P16_CTM2,P18_CTM2,P18_CTM4,P18_CTM5,P18_CTM6,P19_CTM2,P20_CTM14,P20_CTM15,P20_CTM16,P21_CTM11
SHARPIN,0,1.40952,156.148,62.7442,0,0.452056,0,0.312247,73.4961,0,0,0,0,0,1.68126,0,0,0,0,0,0,0,0,0,0,0,162.735
SHB,0,0,0,0,0,310.871,0.0609582,0,5.03988,0,0,0,0,0,0,213.706,0,0,0,0,0,0,0,0,0,0,16.6045
SHBG,0,0,0,0,0,0,0,0,0,0,0,0,0.206437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHC1,0.370008,295.587,47.8079,57.1582,6.98389,58.1515,0.544339,195.037,2.67558,0,1.79569,70.3729,2.50998,0.196671,125.863,80.161,2.90304,25.4199,93.7355,11.0046,62.2088,64.2628,8.14808,0.177979,41.5491,0,111.86
SHC2,0,0,0,5.54942,0,0,0,0,0,0,0,0,0.249548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHC3,0,0,0,0,0,0,0,0,0,0,0,0,0.344271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHC4,0,0,0,0.100488,0,0,0,0.169253,0.0950676,0,0,0,0.893352,0,0,0,2.3157,0,3.39542,0,0,0,36.2417,0,0,0,0
SHCBP1,0,0,0,0.201404,0,0,0,0,0.130146,0,0.0658019,0,1.04267,0,0,0,0,0,0,0.546427,0,0,0,0,0,0.0954642,32.8567
SHCBP1L,0,0,0,0.584686,0,0,0,2.42309,0.11512,0,0,0,0.296145,0,0,0,0,1.11605,4.88936,40.2747,5.79858,0,2.0502,0,0,0.63619,2.19961
SHD,0,0,0,0,184.345,2.99408,0,21.9165,0.799872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.734
SHE,0.0250753,0,0.0101737,0.180972,0,0.070145,0.0610057,0.415546,0.42659,1.0152,8.64526,0,0.381661,28.1866,54.3084,0.0717572,0.504592,2.86987,13.541,0.270872,5.67295,0.296514,5.38775,3.70638,0.547025,5.92735,0.762459
SHF,0,0,0,0,0,0.907592,0,0.457889,0.288688,0,16.4501,0,0.305682,0,0,0,0,14.5823,0.759016,0.32699,0.197666,0.244505,8.27284,0,12.0903,0,2.62245
SHFM1,435.364,575.323,468.772,596.254,758.741,1524.57,430.01,784.483,438.977,0.635725,31.0903,149.065,4.54772,4.5067,6508.08,4088.88,0.454949,123.772,13.6489,13.6189,0.543065,615.667,8.1694,0.396413,28.1608,3.17992,7784.02
SHH,0,0,0,33.8655,30.0405,0.0399363,0.102277,27.9246,1.65332,0,0,0,0.130638,0,0,0,0,0,12.0786,0,0,0,0,0,0,0,0
SHISA2,0,6.20927,0,0.0270121,0,0.0490745,10.6024,19.0595,0.0732586,0,0,0,0.0945002,0,0,0,0,0.165696,5.08749,0,0,0,4.90723,0,0.454518,0,0
SHISA3,0,0,0,0,0,0,0,0,30.0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHISA4,0,0.153262,97.2268,0,0,0,0,0,8.79786,0,0,0,0,1.10874,329.734,0,0,0,0.324575,0,0,0,0.282182,0,0,0,0
SHISA5,793.293,417.025,401.752,55.4882,0,666.055,164.51,38.5619,260.43,1.06497,8.64207,1.60626,0.857593,0.510451,83.1745,1591.54,0,0,0.759032,0,0.980464,0,0,1.12681,0,0,208.339
SHISA6,0,0,0,0,0,0,0,0,0,0,0,0,1.33538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHISA7,0,0,0,0,0,0,0,0,0,0,0,0,0.427289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHISA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHISA9,0.277308,1.85273,0.619726,0.283062,1.61316,0.1565,33.3126,1.53822,0.542134,0.13235,0.417096,1.80145,1.86115,0.0962199,0.107029,0.249266,1.95686,19.9485,33.9677,8.22857,0.436347,2.08376,23.5907,0.153725,4.68208,1.59542,1.02181
SHKBP1,44.0136,76.2124,201.682,49.7065,1.66185,2.26779,488.939,1.36733,0.569448,0,0,0,1.94564,0,733.23,552.792,0,3.15812,135.532,61.5352,0,0,12.0051,0,8.26195,44.1169,122.699
SHMT1,0.304259,0.313014,105.825,25.369,0.594472,1.60399,0.0967182,0.664339,0.541128,0,0.805547,0.774428,3.16736,0,8.95172,1.53771,0,0.157302,2.32687,7.53325,6.10968,3.08151,1.15753,3.77871,0.617486,0,61.6314
SHMT2,0.136875,38.8884,0.253569,183.359,222.595,450.735,2.68919,1.71523,59.3136,0,0,0,0,0,8.3206,0,0,0,0,0,0,0,0,0,0,0,185.831
SHOC2,102.211,0,12.8009,0,0,62.6017,0.185546,3.66002,1.83735,0,1105.75,0,0.0980415,0,0,78.2649,0,0,3.05907,0,0,2.82452,7.53204,0,0,0,93.0177
SHOX,0,0,0,0,0,0,0,0.105814,0,0,0,0,0,0,0,0,0.179928,0,0.51265,0.1516755,0.406713,0,0.149751,0.2199775,0,0.0723775,0
SHOX2,0,0,0,0,0,3.070355,0,0,0,0,0,0,0.11326,0,0,0,6.954,0,2.870945,0,0,0,0,0,0,0,1.184105
SHPK,0.0228907,3.08e-06,0,0.11813005,2.93e-06,0.1868726,0.04928355,0.0904485,0.20576575,0,32.5353825,7.35e-06,0.1762341,0,0.070316,0.147448,1.025435,0.2655465,5.645222,0.5532,0.4895935,0.0717145,2.7782257,6.95e-06,21.3649,0.057943,5.1952605
SHPRH,0,7.85593,0,0.0903414,0.357332,0,0,0.241398,1.07137,0,0,0,1.7529,0,0,0,0,0,11.7362,0.845963,1.80842,0,4.24983,0.0408331,2.42823,0.0260057,5.62514
SHQ1,0.084282,115.717,0.10275,11.3927,0.610655,403.664,0,3.82542,77.209,0.917844,0,0,1.27733,0.0598743,0,0,0,1.28054,6.13835,0.279708,6.58438,22.4882,1.67256,0,1.2267,159.619,129.385
SHROOM1,0.0990739,0.0465081,0.0798202,0.0658302,0.0761005,0.293503,0.0803242,0.727354,0.369122,0,0.354051,0,4.24414,0,0,0.586647,1.81846,12.9376,0.395243,0.660271,0,4.28444,2.3631,0,0.718526,0.210216,7.16905
SHROOM2,0,0,0,0,0,0,0,0,0,0,0,0,0.131373,0,0,0,0,0,0.185513,0,0,0,0,0,0,0,0
SHROOM3,1.01407,0,0,21.0042,107.89,0.0700272,0,0.356336,1.98916,0,0,0,1.27739,0,0,0,0,0,0.0372955,0,0.350172,0,0,0,0.0655244,0,21.02
SHROOM4,4.57956,0,0,0.104093,0,0,0.177471,2.8224,0.708273,3.91165,29.0779,1073.35,3.61032,0,47.5611,0.0500219,1.9847,39.5399,10.662,64.3385,2.37562,0,13.5538,2.88107,2.62602,1.81532,1.24184
SI,0,0,0,25.187,0,0.794351,0,2.73046,0,0,0,0,0.13331,0,0,0,0,0,0,0.0996766,0,0,0,0,0.089909,0,0
SIAE,0,0,13.4391,7.00906,66.2934,6.96145,0.10999,5.11502,16.2621,0,0.0287562,0.0643652,1.61085,0,0.955284,0.0415848,0.570973,21.6671,24.6978,7.6583,5.29318,2.75445,9.8805,0.299328,0.35454,0,6.58665
SIAH1,0,0.31777,40.7363,8.6909,94.3132,0,0.437087,2.23985,0.830726,0,0,0,1.93798,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0264
SIAH2,0,41.5339,0,3.50965,0.499152,0.0784582,22.9538,7.95509,0,0,0,0,0.117876,28.3195,0,0,0,0,0,0,0,0,0,0,0,0,26.686
SIAH3,0,0,0,0,0,0,0,0.0549094,0,0,0,0,0.464029,0,0,0,0,2.05206,0.374185,0,0,0,0.17288,0,0,0,0
SIDT1,0,0,0,0.115354,0,6.25526,1.7856,0.963725,1.05144,0.890412,0,0,1.02152,0,0.753528,0,22.311,174.064,1.8641,1.59262,0,0.919705,1.00754,0,11.1532,0.076915,2.07486
SIDT2,0,0,0,2.26388,0.14831,2.91419,0,1.4873,78.8993,0,0,0,1.13289,0,0,10.5182,0.457567,0.848318,0.623568,0.313018,0,123.785,0.959631,1.77072,0.373919,5.1815,2.26135
SIGIRR,276.123,0.360491,28.3428,0,0.767212,0,32.9127,0,0,0,0,0,1.54924,0,21.3417,0,0,0,0,0,0,0,0,0,0,0,197.229
SIGLEC1,0,18.2962,0.0192122,0,0,0,0,0,0,0,0,0,0.208527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIGLEC10,0,34.092,0,0.439066,0,0.250324,0.107644,3.47632,0.997526,0,0,0,1.65869,0,0.20888,0.215937,9.07586,11.8035,11.8724,4.63294,0.18514,0.221369,10.4709,2.17455,3.5377,1.98212,2.11237
SIGLEC11,0,0.0497659,0.0276248,0,0.0396828,0,0,0.02497785,0.0817065,0,0,0,0.096947,0,0,0,0,0.11454,0.0569525,0,1.639255,0.851575,0,0.244984,3.286135,0.1461735,0
SIGLEC12,0,0,0,0,0,0,0,0,0,0,0,0,0.242387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIGLEC14,0,0,0,0,0,0,0,0.181798,0.165828,0,0,0,0.353816,0,0,0,9.1441,5.20457,7.98353,0.835058,0.210527,0,4.02019,0,0.262206,0,0
SIGLEC15,12.18,0,0,0.0669777,0,0,0,0.333093,0,0.223088,0,0,0.574652,0,0.210843,0,0.156716,0.309873,0.93509,0.416674,0.714435,12.6231,13.5466,0.190957,0.24025,0,0
